Ano,Semana,Producto,Clasificacion_Producto,Responsable,Clientes_Funcionarios,Valor_Funcionario,Clientes_Externos,Valor_Externos
2020,6,ACELGA_CHINA,Acelgas,Hugo_Escobar,5,1300,8,2800
2020,6,ACELGA_COMUN,Acelgas,Hugo_Escobar,4,1200,19,1500
2020,6,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,3,1300,9,2200
2020,6,ACELGA_ROJA,Acelgas,Hugo_Escobar,3,1300,6,2200
2020,6,BROCOLI,Brasicas,Rodrigo_Gil,4,1500,5,3200
2020,6,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,8,1500,47,3200
2020,6,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,8,1800,42,3500
2020,6,CILANTRO,Cilantro,Hugo_Escobar,0,1200,11,1600
2020,6,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,4,1500,21,2900
2020,6,COLIFLOR,Brasicas,Rodrigo_Gil,4,1500,7,2800
2020,6,ESPINACA,Espinaca,Rodrigo_Gil,12,1500,65,2800
2020,6,FRESA,Fresa,Hugo_Escobar,9,2700,34,5300
2020,6,CRESPA_VERDE,Lechugas,Hugo_Escobar,14,1000,41,2000
2020,6,CRESPA_MORADA,Lechugas,Hugo_Escobar,2,1000,24,2000
2020,6,LECHUGA_LISA,Lechugas,Hugo_Escobar,4,1000,29,2000
2020,6,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,1,1200,25,2200
2020,6,RUGULA,Lechugas,Hugo_Escobar,2,1500,9,3500
2020,6,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,4,1800,6,2500
2020,6,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,0,1250,74,2000
2020,6,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0,251,3100
2020,6,PEREJIL_CRESPO,Perejil,Hugo_Escobar,1,1000,10,1500
2020,6,PEREJIL_LISO,Perejil,Hugo_Escobar,1,1000,18,1500
2020,6,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,0,1200,0,1500
2020,6,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,9,1200,33,1500
2020,6,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800,2,2800
2020,6,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,2,1800,6,2400
2020,6,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,0,1800,0,3800
2020,6,ROMANESCO,Brasicas,Rodrigo_Gil,0,4000,0,6000
2020,6,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,8,1800,14,3800
2020,6,KALE,Brasicas,Rodrigo_Gil,0,2400,0,3000
2020,6,TOMATE,Tomates,Carlos_Bojaca,29,3000,258,4800
2020,6,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,6,4000,87,5000
2020,6,CHERRY_UVALINA,Tomates,Carlos_Bojaca,0,4000,51,5000
2020,6,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800,2,6000
2020,6,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,0,30000,3,45000
2020,6,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,0,1600,11,2500
2020,6,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,2.5,1600,3,2700
2020,6,APIO,Apio,Hugo_Escobar,0,1500,4,2000
2020,6,POLEN,Apicultura,Luz_Stella,0,12000,0,12000
2020,6,MIEL,Apicultura,Luz_Stella,0,7800,0,7800
2020,6,MAZORCA,Maiz,Hugo_Escobar,0,2000,0,2700
2020,6,BERENJENA,Berenjena,Hugo_Escobar,0,2000,0,2700
2020,7,ACELGA_CHINA,Acelgas,Hugo_Escobar,0,1300,4,2800
2020,7,ACELGA_COMUN,Acelgas,Hugo_Escobar,0,1200,15,1500
2020,7,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,0,1300,11,2200
2020,7,ACELGA_ROJA,Acelgas,Hugo_Escobar,0,1300,8,2200
2020,7,BROCOLI,Brasicas,Rodrigo_Gil,0,1500,28,3200
2020,7,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,3,1500,13,3200
2020,7,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,2,1800,30,3500
2020,7,CILANTRO,Cilantro,Hugo_Escobar,1,1200,22,1600
2020,7,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,2,1500,28,2900
2020,7,COLIFLOR,Brasicas,Rodrigo_Gil,0,1500,10,2800
2020,7,ESPINACA,Espinaca,Rodrigo_Gil,5,1500,75,2800
2020,7,FRESA,Fresa,Hugo_Escobar,2,2700,36,5300
2020,7,CRESPA_VERDE,Lechugas,Hugo_Escobar,4,1000,55,2000
2020,7,CRESPA_MORADA,Lechugas,Hugo_Escobar,1,1000,25,2000
2020,7,LECHUGA_LISA,Lechugas,Hugo_Escobar,1,1000,25,2000
2020,7,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,0,1200,20,2200
2020,7,RUGULA,Lechugas,Hugo_Escobar,0,1500,11,3500
2020,7,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,0,1800,20,2500
2020,7,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,3,1250,90,2000
2020,7,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0,245,3100
2020,7,PEREJIL_CRESPO,Perejil,Hugo_Escobar,0,1000,13,1500
2020,7,PEREJIL_LISO,Perejil,Hugo_Escobar,0,1000,18,1500
2020,7,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,NA,1200,NA,1500
2020,7,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,1,1200,77,1500
2020,7,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800,0,2800
2020,7,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,0,1800,5,2400
2020,7,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,NA,1800,NA,3800
2020,7,ROMANESCO,Brasicas,Rodrigo_Gil,0,4000,4,6000
2020,7,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,1,1800,1,3800
2020,7,KALE,Brasicas,Rodrigo_Gil,NA,2400,NA,3000
2020,7,TOMATE,Tomates,Carlos_Bojaca,9,3000,140.5,4800
2020,7,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,0,4000,53,5000
2020,7,CHERRY_UVALINA,Tomates,Carlos_Bojaca,1,4000,28,5000
2020,7,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800,17,6000
2020,7,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,1,30000,8,45000
2020,7,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,0,1600,4,2500
2020,7,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,0,1600,4,2700
2020,7,APIO,Apio,Hugo_Escobar,0,1500,0,2000
2020,7,POLEN,Apicultura,Luz_Stella,0,12000,0,12000
2020,7,MIEL,Apicultura,Luz_Stella,0,7800,0,7800
2020,7,MAZORCA,Maiz,Hugo_Escobar,0,2000,0,2700
2020,7,BERENJENA,Berenjena,Hugo_Escobar,0,2000,0,2700
2020,8,ACELGA_CHINA,Acelgas,Hugo_Escobar,0,1300,16,2800
2020,8,ACELGA_COMUN,Acelgas,Hugo_Escobar,8,1200,23,1500
2020,8,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,0,1300,13,2200
2020,8,ACELGA_ROJA,Acelgas,Hugo_Escobar,0,1300,17,2200
2020,8,BROCOLI,Brasicas,Rodrigo_Gil,10,1500,69,3200
2020,8,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,3,1500,12,3200
2020,8,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,11,1800,46,3500
2020,8,CILANTRO,Cilantro,Hugo_Escobar,6,1200,25,1600
2020,8,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,1,1500,35,2900
2020,8,COLIFLOR,Brasicas,Rodrigo_Gil,4,1500,37,2800
2020,8,ESPINACA,Espinaca,Rodrigo_Gil,21,1500,131,2800
2020,8,FRESA,Fresa,Hugo_Escobar,7,2700,47,5300
2020,8,CRESPA_VERDE,Lechugas,Hugo_Escobar,9,1000,55,2000
2020,8,CRESPA_MORADA,Lechugas,Hugo_Escobar,8,1000,29,2000
2020,8,LECHUGA_LISA,Lechugas,Hugo_Escobar,6,1000,24,2000
2020,8,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,9,1200,30,2200
2020,8,RUGULA,Lechugas,Hugo_Escobar,1,1500,23,3500
2020,8,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,2,1800,18,2500
2020,8,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,10,1250,66,2000
2020,8,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0,181,3100
2020,8,PEREJIL_CRESPO,Perejil,Hugo_Escobar,6,1000,11,1500
2020,8,PEREJIL_LISO,Perejil,Hugo_Escobar,9,1000,25,1500
2020,8,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,7,1200,27,1500
2020,8,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,6,1200,47,1500
2020,8,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800,1,2800
2020,8,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,0,1800,11,2400
2020,8,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,0,1800,11,3800
2020,8,ROMANESCO,Brasicas,Rodrigo_Gil,2,4000,18,6000
2020,8,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,6,1800,49,3800
2020,8,KALE,Brasicas,Rodrigo_Gil,2,2400,42,3000
2020,8,TOMATE,Tomates,Carlos_Bojaca,96,3000,103,4800
2020,8,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,2,4000,38,5000
2020,8,CHERRY_UVALINA,Tomates,Carlos_Bojaca,0,4000,27,5000
2020,8,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800,4,6000
2020,8,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,0,30000,5,45000
2020,8,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,0,1600,2,2500
2020,8,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,0,1600,4,2700
2020,8,APIO,Apio,Hugo_Escobar,0,1500,0,2000
2020,8,POLEN,Apicultura,Luz_Stella,0,12000,0,12000
2020,8,MIEL,Apicultura,Luz_Stella,0,7800,0,7800
2020,8,MAZORCA,Maiz,Hugo_Escobar,0,2000,0,2700
2020,8,BERENJENA,Berenjena,Hugo_Escobar,0,2000,0,2700
2020,9,ACELGA_CHINA,Acelgas,Hugo_Escobar,2,1300,20,2800
2020,9,ACELGA_COMUN,Acelgas,Hugo_Escobar,0,1200,22,1500
2020,9,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,0,1300,16,2200
2020,9,ACELGA_ROJA,Acelgas,Hugo_Escobar,0,1300,19,2200
2020,9,BROCOLI,Brasicas,Rodrigo_Gil,2,1500,57,3200
2020,9,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,3,1500,34,3200
2020,9,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,1,1800,40,3500
2020,9,CILANTRO,Cilantro,Hugo_Escobar,2,1200,46,1600
2020,9,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,0,1500,57,2900
2020,9,COLIFLOR,Brasicas,Rodrigo_Gil,1,1500,52,2800
2020,9,ESPINACA,Espinaca,Rodrigo_Gil,5,1500,140,2800
2020,9,FRESA,Fresa,Hugo_Escobar,9,2700,60,5300
2020,9,CRESPA_VERDE,Lechugas,Hugo_Escobar,6,1000,65,2000
2020,9,CRESPA_MORADA,Lechugas,Hugo_Escobar,2,1000,15,2000
2020,9,LECHUGA_LISA,Lechugas,Hugo_Escobar,2,1000,29,2000
2020,9,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,0,1200,29,2200
2020,9,RUGULA,Lechugas,Hugo_Escobar,0,1500,40,3500
2020,9,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,1,1800,21,2500
2020,9,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,5,1250,99,2000
2020,9,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0,117,3100
2020,9,PEREJIL_CRESPO,Perejil,Hugo_Escobar,2,1000,16,1500
2020,9,PEREJIL_LISO,Perejil,Hugo_Escobar,0,1000,14,1500
2020,9,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,9,1200,46,1500
2020,9,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,2,1200,43,1500
2020,9,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800,0,2800
2020,9,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,2,1800,2,2400
2020,9,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,0,1800,2,3800
2020,9,ROMANESCO,Brasicas,Rodrigo_Gil,4,4000,9,6000
2020,9,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,0,1800,0,3800
2020,9,KALE,Brasicas,Rodrigo_Gil,1,2400,13,3000
2020,9,TOMATE,Tomates,Carlos_Bojaca,14.5,3000,192,4800
2020,9,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,3,4000,58,5000
2020,9,CHERRY_UVALINA,Tomates,Carlos_Bojaca,0,4000,56,5000
2020,9,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800,12,6000
2020,9,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,0,30000,4,45000
2020,9,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,1,1600,13,2500
2020,9,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,0,1600,3,2700
2020,9,APIO,Apio,Hugo_Escobar,0,1500,0,2000
2020,9,POLEN,Apicultura,Luz_Stella,0,12000,0,12000
2020,9,MIEL,Apicultura,Luz_Stella,0,7800,0,7800
2020,9,MAZORCA,Maiz,Hugo_Escobar,0,2000,0,2700
2020,9,BERENJENA,Berenjena,Hugo_Escobar,0,2000,0,2700
2020,10,ACELGA_CHINA,Acelgas,Hugo_Escobar,7,1300,20,2800
2020,10,ACELGA_COMUN,Acelgas,Hugo_Escobar,4,1200,17,1500
2020,10,ACELGA_AMARILLA,Acelgas,Hugo_Escobar,3,1300,14,2200
2020,10,ACELGA_ROJA,Acelgas,Hugo_Escobar,0,1300,17,2200
2020,10,BROCOLI,Brasicas,Rodrigo_Gil,1,1500,50,3200
2020,10,CEBOLLA_CABEZONA,Cebollas,Rodrigo_Gil,1,1500,27,3200
2020,10,CEBOLLA_LARGA,Cebollas,Hugo_Escobar,1,1800,27,3500
2020,10,CILANTRO,Cilantro,Hugo_Escobar,12,1200,49,1600
2020,10,COGOLLOS_DE_TUDELA,Lechugas,Hugo_Escobar,0,1500,37,2900
2020,10,COLIFLOR,Brasicas,Rodrigo_Gil,6,1500,27,2800
2020,10,ESPINACA,Espinaca,Rodrigo_Gil,12,1500,61,2800
2020,10,FRESA,Fresa,Hugo_Escobar,16,2700,53,5300
2020,10,CRESPA_VERDE,Lechugas,Hugo_Escobar,3,1000,68,2000
2020,10,CRESPA_MORADA,Lechugas,Hugo_Escobar,8,1000,37,2000
2020,10,LECHUGA_LISA,Lechugas,Hugo_Escobar,6,1000,11,2000
2020,10,LECHUGA_ROMANA,Lechugas,Hugo_Escobar,6,1200,42,2200
2020,10,RUGULA,Lechugas,Hugo_Escobar,0,1500,37,3500
2020,10,MEZCLA_ASIATICAS,Asiaticas,Hugo_Escobar,0,1800,25,2500
2020,10,PEPINO_EUROPEO,Cucurbitaceas,Hugo_Escobar,29,1250,98,2000
2020,10,PEPINO_KILO,Cucurbitaceas,Hugo_Escobar,0,0,110,3100
2020,10,PEREJIL_CRESPO,Perejil,Hugo_Escobar,2,1000,8,1500
2020,10,PEREJIL_LISO,Perejil,Hugo_Escobar,5,1000,14,1500
2020,10,PIMENTON_AMARILLO,Pimenton,Carlos_Bojaca,2,1200,42,1500
2020,10,PIMENTON_ROJO,Pimenton,Carlos_Bojaca,3,1200,30,1500
2020,10,REPOLLO _MORADO,Brasicas,Rodrigo_Gil,0,1800,0,2800
2020,10,REPOLLO_VERDE,Brasicas,Rodrigo_Gil,0,1800,3,2400
2020,10,REPOLLO_RIZADO,Brasicas,Rodrigo_Gil,0,1800,0,3800
2020,10,ROMANESCO,Brasicas,Rodrigo_Gil,0,4000,8,6000
2020,10,TOMATE_DE_ARBOL,TomateArbol,Hugo_Escobar,0,1800,16,3800
2020,10,KALE,Brasicas,Rodrigo_Gil,1,2400,11,3000
2020,10,TOMATE,Tomates,Carlos_Bojaca,51,3000,124,4800
2020,10,CHERRY_AMARILLO,Tomates,Carlos_Bojaca,29,4000,68,5000
2020,10,CHERRY_UVALINA,Tomates,Carlos_Bojaca,16,4000,71,5000
2020,10,COMPOSTAJE_KILOS,Compost,Hugo_Escobar,0,1800,13,6000
2020,10,COMPOSTAJE_BULTO,Compost,Hugo_Escobar,0,30000,9,45000
2020,10,ZUQUINI_AMARILLO,Cucurbitaceas,Hugo_Escobar,0,1600,7,2500
2020,10,ZUQUINI_VERDE,Cucurbitaceas,Hugo_Escobar,0.5,1600,6,2700
